"","Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","Population","Cohort","X1.x","X2.x","X1.y","X2.y"
"692","HG00155",-0.0170112151754161,-0.00261931112534456,-0.00502775521036509,0.00428542402080189,-0.0224919408138702,0.00134276616636168,-0.0286934893146973,"GBR","EUR",1.55296042489749,-1.52424841927709,1.55296042489749,-1.52424841927709
"693","HG00157",-0.0168882439806145,-0.00103610931913422,-0.00664441494975896,-0.000540674536615667,-0.0212941323730641,-0.0233297863695886,-0.0204519896656029,"GBR","EUR",0.791961433631775,-2.13368228489981,0.791961433631775,-2.13368228489981
"694","HG00158",-0.0168308392263493,-0.00295066201909259,-0.00943149172989039,0.00422750893237984,-0.0222791353980721,0.000659908746158421,0.00551684935175977,"GBR","EUR",1.77300781310259,-2.95720790325003,1.77300781310259,-2.95720790325003
"695","HG00159",-0.0164858979817902,-0.00376372586533283,-0.00812497527631705,0.00403897759363227,-0.021306212750521,0.0236803766862762,-0.00496195654237637,"GBR","EUR",1.97984525219127,-2.42618532532162,1.97984525219127,-2.42618532532162
"696","HG00160",-0.0169451080700951,-0.00511495086736132,-0.0108987928187913,-0.000983541888963873,-0.0138238786988299,-0.0269818874014874,0.0278114529883671,"GBR","EUR",2.84549428552061,-3.14564763774005,2.84549428552061,-3.14564763774005
"697","HG00171",-0.0169525789899985,-0.00654031609424109,-0.00513618336585264,-0.000993111348493026,-0.0296348859024719,0.0274422009141416,-0.0292517620763007,"FIN","EUR",3.55201980404543,-1.65560426303381,3.55201980404543,-1.65560426303381
"698","HG00173",-0.0170690421522895,-0.00404870967496219,-0.00438420928135401,-0.000164167327197845,-0.0179937305600413,0.00158507104989972,0.000487552050137479,"FIN","EUR",2.32743593057681,-1.39336005259282,2.32743593057681,-1.39336005259282
"699","HG00174",-0.0167242888772105,-0.00343892562281755,-0.00115686227573832,-0.000650046244403883,-0.0311353546529309,0.0284696581966198,-0.0276522229948062,"FIN","EUR",1.92285845117784,-0.67678893108834,1.92285845117784,-0.67678893108834
"700","HG00176",-0.0170332528799237,-0.00512680306145162,-0.00401590836361568,0.00191188441922596,-0.0240015008757797,0.000771526412378061,-0.000978961174007262,"FIN","EUR",2.83602456388691,-1.27509412950638,2.83602456388691,-1.27509412950638
"701","HG00177",-0.0170014368915075,-0.00504106562899613,-0.0056237978516226,-0.00269135112670101,-0.0226484873893975,-0.0227247883432878,-0.0111689645410982,"FIN","EUR",2.81723151555081,-1.76821861484826,2.81723151555081,-1.76821861484826
"702","HG00178",-0.0164209119057774,-0.00439480247805677,-0.0100482572044994,-9.60463671120193e-05,-0.0231593429636314,0.0310172997199155,0.00464874672560251,"FIN","EUR",2.23305566784466,-2.83029623181132,2.23305566784466,-2.83029623181132
"703","HG00179",-0.0167191726085388,-0.00317593861375917,-0.0103860276437133,0.00294338515439172,-0.0217847996444642,0.00654873907251948,-0.0279804515124973,"FIN","EUR",1.76005625710697,-3.0020190159696,1.76005625710697,-3.0020190159696
"704","HG00180",-0.017085183298392,-0.00281988579729121,-0.00942599766685561,0.00612893882558221,-0.0122208467764984,0.00698843396262728,-0.0316093682648213,"FIN","EUR",1.6844798448852,-2.6419663437802,1.6844798448852,-2.6419663437802
"705","HG00181",-0.0165536789910089,-0.00457068029813456,-0.00824399397073724,0.0011033133012735,-0.0241906331635928,0.00315849368476473,-0.00947628609593099,"FIN","EUR",2.43677647944719,-2.51898412098855,2.43677647944719,-2.51898412098855
"706","HG00182",-0.0164579186131783,-0.0033350740666281,-0.0103944410078739,0.00369793610107789,-0.021495740565788,0.00454339736221479,-0.0291560576506361,"FIN","EUR",1.79602500863532,-3.12717137845702,1.79602500863532,-3.12717137845702
"707","HG00183",-0.0167920749137565,-0.00199124960720416,-0.00789913971456441,0.00410873990826733,-0.0245103237543309,0.00326861816662065,-0.009983127629517,"FIN","EUR",1.24370977711998,-2.48965019109175,1.24370977711998,-2.48965019109175
"708","HG00185",-0.0168754367933078,-0.00619361963947431,-0.00301953808630986,0.00524635795571901,-0.0195136790941274,0.000591375538400428,0.0150909298785905,"FIN","EUR",3.36175111010569,-1.1055441679943,3.36175111010569,-1.1055441679943
"709","HG00186",-0.0169487363658101,-0.00267098875947369,-0.0100406709649512,0.000222774404822358,-0.0166847310972393,-0.0193881112047144,-0.0136527956481481,"FIN","EUR",1.61682371985554,-2.9464882624338,1.61682371985554,-2.9464882624338
"710","HG00187",-0.01683722342761,-0.00532980390443269,-0.00292004518005813,0.0114830391888454,-0.0126856563568462,0.00220228669471809,0.0244624881475694,"FIN","EUR",2.95021160841847,-1.15819494715268,2.95021160841847,-1.15819494715268
"711","HG00188",-0.0166194252283404,-0.00382476552668376,-0.0131499674340204,-0.00292020411627581,-0.0196397236453252,0.00608230529504338,-0.0306478618382045,"FIN","EUR",2.10296403937377,-3.82324238594124,2.10296403937377,-3.82324238594124
"712","HG00189",-0.0170369548809685,-0.00382406840649366,-0.00590798779699934,-0.0026752339926379,-0.0278386987527773,0.00483392291820642,-0.026550733812593,"FIN","EUR",2.18686144025442,-1.80024139209969,2.18686144025442,-1.80024139209969
"713","HG00190",-0.0172677481585839,-0.00152165098099516,-0.00729137371365768,-0.00339331924958609,-0.0223381962087207,-0.0248138066977054,-0.0170779252713987,"FIN","EUR",1.12530506738932,-2.17910818394411,1.12530506738932,-2.17910818394411
"714","HG00231",-0.0167595711350277,-0.00482643590082121,-0.00789851254061216,0.00813909462859134,-0.0152532841494076,-0.0248353759231205,-0.00774835624839105,"GBR","EUR",2.61927341894276,-2.35682369157151,2.61927341894276,-2.35682369157151
